geoid,county_name,category,poverty,alice,above_alice
48411,San Saba,over_65,46,363,392
48413,Schleicher,single_cohab,77,152,256
48413,Schleicher,fam_kids,55,50,215
48413,Schleicher,over_65,57,103,140
48415,Scurry,single_cohab,171,832,1408
48415,Scurry,fam_kids,307,320,1119
48415,Scurry,over_65,149,758,820
48417,Shackelford,single_cohab,77,171,318
48417,Shackelford,fam_kids,56,29,197
48417,Shackelford,over_65,55,206,125
48419,Shelby,single_cohab,543,1300,1649
48419,Shelby,fam_kids,1107,426,1578
48419,Shelby,over_65,416,870,1403
48421,Sherman,single_cohab,46,126,281
48421,Sherman,fam_kids,65,53,214
48421,Sherman,over_65,22,120,128
48423,Smith,single_cohab,4691,7191,21162
48423,Smith,fam_kids,4733,4058,12704
48423,Smith,over_65,2862,7426,12503
48425,Somervell,single_cohab,149,176,686
48425,Somervell,fam_kids,574,52,721
48425,Somervell,over_65,83,345,453
48427,Starr,single_cohab,1285,2664,1470
48427,Starr,fam_kids,2934,1896,1942
48427,Starr,over_65,1514,1315,1218
48429,Stephens,single_cohab,216,485,690
48429,Stephens,fam_kids,322,161,393
48429,Stephens,over_65,150,344,507
48431,Sterling,single_cohab,2,29,200
48431,Sterling,fam_kids,9,16,109
48431,Sterling,over_65,,,
48433,Stonewall,single_cohab,31,84,123
48433,Stonewall,fam_kids,23,12,68
48433,Stonewall,over_65,20,100,121
48435,Sutton,single_cohab,24,131,438
48435,Sutton,fam_kids,45,52,377
48435,Sutton,over_65,59,129,229
48437,Swisher,single_cohab,139,253,382
48437,Swisher,fam_kids,266,263,383
48437,Swisher,over_65,133,382,313
48439,Tarrant,single_cohab,26291,83150,229619
48439,Tarrant,fam_kids,36563,50033,155008
48439,Tarrant,over_65,16020,51027,74762
48441,Taylor,single_cohab,3232,9395,11201
48441,Taylor,fam_kids,2882,3719,7660
48441,Taylor,over_65,1174,4385,6163
48443,Terrell,single_cohab,31,37,54
48443,Terrell,fam_kids,,,
48443,Terrell,over_65,54,73,87
48445,Terry,single_cohab,170,450,966
48445,Terry,fam_kids,318,442,480
48445,Terry,over_65,132,461,622
48447,Throckmorton,single_cohab,88,59,164
48447,Throckmorton,fam_kids,23,22,110
48447,Throckmorton,over_65,31,99,107
48449,Titus,single_cohab,367,1760,2220
48449,Titus,fam_kids,1025,905,1794
48449,Titus,over_65,386,922,1315
48451,Tom Green,single_cohab,3106,6576,10514
48451,Tom Green,fam_kids,2043,2651,6827
48451,Tom Green,over_65,939,3925,6720
48453,Travis,single_cohab,29632,77063,168142
48453,Travis,fam_kids,18964,31105,88039
48453,Travis,over_65,6776,22585,44242
